Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
8/13/2014,151,217,38.25,,,,
11/25/2017,152,168,22.02,74,82,36.59,226
3/6/2017,383,448,8.71,145,164,42.68,528
10/8/2017,170,191,12.04,80,88,35.23,250
7/2/2018,654,732,35.38,244,265,24.53,898
1/25/2018,532,606,20.3,305,344,23.84,837
8/3/2017,392,449,13.14,186,204,35.78,578
6/27/2018,626,720,33.19,318,369,24.66,944
6/14/2014,59,71,52.11,,,,
10/21/2017,169,197,20.3,79,87,27.59,248
1/1/2018,148,166,25.3,77,90,24.44,225
12/26/2016,120,129,2.33,20,21,38.1,140
8/29/2018,641,741,29.15,301,329,23.4,942
9/6/2017,381,427,16.86,216,243,29.22,597
9/18/2014,190,244,35.25,,,,
3/30/2015,362,407,2.46,,,,
8/30/2015,106,117,5.98,,,,
9/6/2015,118,139,5.04,,,,
1/2/2018,366,423,15.6,167,196,32.65,533
8/27/2017,120,132,14.39,78,85,37.65,198
10/6/2017,365,419,11.46,185,208,38.46,550
1/18/2018,485,553,18.63,273,320,31.25,758
1/7/2018,161,175,29.71,99,117,29.91,260
1/11/2015,72,79,60.76,,,,
6/20/2017,405,484,13.64,175,207,39.61,580
3/14/2017,413,454,11.01,170,192,42.19,583
3/3/2018,186,215,20,231,263,33.08,417
3/29/2017,361,410,11.95,161,181,41.99,522
12/12/2017,402,475,18.53,237,274,33.58,639
8/30/2014,40,59,50.85,,,,
8/16/2018,564,634,27.76,263,279,24.37,827
9/21/2014,57,65,47.69,,,,
7/21/2014,174,223,47.98,,,,
12/13/2016,315,362,0.83,154,190,42.11,469
1/14/2017,108,114,7.89,25,27,25.93,133
4/29/2017,134,156,14.74,53,61,29.51,187
6/27/2016,373,410,0,600,704,54.4,973
12/1/2017,415,496,14.31,196,220,32.27,611
7/16/2014,202,249,41.77,,,,
5/19/2017,312,359,11.98,122,136,37.5,434
10/23/2017,709,783,40.87,384,411,51.82,1093
4/23/2016,138,155,3.23,27,28,46.43,165
8/11/2017,321,350,12.57,171,181,43.09,492
12/19/2017,404,458,12.45,200,224,34.38,604
3/1/2018,562,639,23.16,274,303,27.72,836
3/2/2018,482,562,23.49,265,303,27.06,747
3/10/2018,220,249,20.08,100,112,37.5,320
3/4/2018,335,379,18.47,204,238,21.85,539
5/19/2015,347,419,6.68,,,,
3/8/2018,564,640,24.06,251,294,30.61,815
3/7/2018,667,760,19.61,300,353,25.5,967
3/11/2018,232,261,26.82,129,140,35.71,361
3/9/2018,506,584,20.55,223,244,35.66,729
3/6/2018,647,737,18.72,324,377,32.1,971
3/5/2018,618,704,18.61,422,468,22.86,1040
5/10/2015,129,155,14.19,,,,
11/22/2015,137,159,7.55,,,,
7/3/2018,670,725,40,265,289,22.49,935
2/6/2017,384,436,7.34,142,168,36.9,526
7/9/2016,90,93,1.08,38,46,45.65,128
11/24/2015,348,420,3.57,,,,
